  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:24 pm AST

Well Name,Basin,Subbasin,Latitude (NAD27),Longitude (NAD27),Northing (NAD27),Easting (NAD27),Latitude (NAD83),Longitude (NAD83),Northing (NAD83),Easting (NAD83),Zone (UTM)
HIBERNIA B-16 37,JEANNE D'ARC BASIN,,,,,,46.750301,-48.78157,5179806,669439,22
HIBERNIA B-16 37Z,JEANNE D'ARC BASIN,,,,,,46.750301,-48.78157,5179806,669439,22
HIBERNIA B-16 38,JEANNE D'ARC BASIN,,,,,,46.750381,-48.781548,5179815,669440,22
HIBERNIA B-16 39,JEANNE D'ARC BASIN,,,,,,46.750547,-48.78179,5179833,669421,22
HIBERNIA B-16 4,JEANNE D'ARC BASIN,,46.750469,-48.781501,5179607,669449,46.750381,-48.781501,5179815,669444,22
HIBERNIA B-16 40,JEANNE D'ARC BASIN,,,,,,46.75061,-48.781883,5179840,669414,22
HIBERNIA B-16 41,JEANNE D'ARC BASIN,,46.750649,-48.782983,5179624,669335,46.750561,-48.781906,5179835,669413,22
HIBERNIA B-16 41Z,JEANNE D'ARC BASIN,,46.750649,-48.782983,5179624,669335,46.750561,-48.781906,5179835,669413,22
HIBERNIA B-16 42,JEANNE D'ARC BASIN,,46.750619,-48.782936,5179620,669339,46.750531,-48.781858,5179831,669416,22
HIBERNIA B-16 42Z,JEANNE D'ARC BASIN,,46.750619,-48.782936,5179620,669339,46.750531,-48.781858,5179831,669416,22
HIBERNIA B-16 43,JEANNE D'ARC BASIN,,46.750699,-48.782869,5179629,669344,46.750611,-48.781792,5179840,669421,22
HIBERNIA B-16 44,JEANNE D'ARC BASIN,,46.750499,-48.782624,5179608,669363,46.750411,-48.781547,5179819,669440,22
HIBERNIA B-16 45,JEANNE D'ARC BASIN,,46.750683,-48.782936,5179628,669339,46.750594,-48.781858,5179838,669416,22
HIBERNIA B-16 45Z,JEANNE D'ARC BASIN,,46.750683,-48.782936,5179628,669339,46.750594,-48.781858,5179838,669416,22
HIBERNIA B-16 46,JEANNE D'ARC BASIN,,46.750421,-48.782647,5179599,669362,46.750333,-48.781569,5179810,669439,22
HIBERNIA B-16 47,JEANNE D'ARC BASIN,,46.750635,-48.783005,5179622,669334,46.750547,-48.781928,5179833,669411,22
HIBERNIA B-16 47Z,JEANNE D'ARC BASIN,,46.750635,-48.783005,5179622,669334,46.750547,-48.781928,5179833,669411,22
HIBERNIA B-16 48,JEANNE D'ARC BASIN,,46.750683,-48.782983,5179627,669335,46.750594,-48.781906,5179838,669412,22
HIBERNIA B-16 48Y,JEANNE D'ARC BASIN,,46.750683,-48.782983,5179627,669335,46.750594,-48.781906,5179838,669412,22
HIBERNIA B-16 48Z,JEANNE D'ARC BASIN,,46.750683,-48.782983,5179627,669335,46.750594,-48.781906,5179838,669412,22
HIBERNIA B-16 49,JEANNE D'ARC BASIN,,46.750452,-48.782647,5179603,669361,46.750364,-48.781569,5179813,669439,22
HIBERNIA B-16 49Y,JEANNE D'ARC BASIN,,46.750452,-48.782647,5179603,669361,46.750364,-48.781569,5179813,669439,22
