  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
HERON J-72,D106,300 J72 44100 52150,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,SCOTIAN BASIN,P&A
HIBERNIA B-08,D191,300 B08 46500 48450,1980,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA B-16 1,N144,300 B16 46500 48450,1997,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 10,N155,310 B16 46500 48450,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 10Y,N381,310 B16 46500 48452,2012,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 10Z,N157,310 B16 46500 48451,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 11,N156,311 B16 46500 48450,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 11Z,N446,311 B16 46500 48451,2017,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 12,N177,312 B16 46500 48450,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 13,N293,313 B16 46500 48450,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 13Z,N374,313 B16 46500 48451,2012,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 14,N160,314 B16 46500 48450,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 14V,N481,314 B16 46500 48455,2019,HMDC,Grand Banks,JEANNE D'ARC BASIN,SUSP
HIBERNIA B-16 14W,N479,314 B16 46500 48454,2019,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 14X,N475,314 B16 46500 48453,2019,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 14Y,N394,314 B16 46500 48452,2013,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 14Z,N387,314 B16 46500 48451,2013,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 15,N162,315 B16 46500 48450,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 15Y,N371,315 B16 46500 48452,2011,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 15Z,N166,315 B16 46500 48451,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 16,N172,316 B16 46500 48450,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 16Z,N276,316 B16 46500 48451,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 17,N168,317 B16 46500 48450,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 17Z,N400,317 B16 46500 48451,2014,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 18,N179,318 B16 46500 48450,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 19,N180,319 B16 46500 48450,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 19Z,N182,319 B16 46500 48451,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 2,N146,302 B16 46500 48450,1997,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 20,N184,320 B16 46500 48450,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 20V,N435,320 B16 46500 48455,2017,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 20W,N409,320 B16 46500 48454,2014,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 20X,N281,320 B16 46500 48453,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 20Y,N187,320 B16 46500 48452,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 20Z,N186,320 B16 46500 48451,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 21,N193,321 B16 46500 48450,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 21X,N422,321 B16 46500 48453,2016,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 21Y,N421,321 B16 46500 48452,2016,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 21Z,N345,321 B16 46500 48451,2009,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
